territory,status,priority,suggested_scope,reason
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
Iran,resolved_pass220_active_spiders_built,medium,new territory compact pass 1 + CanSell hardening,"Pass220 successfully resolved and built active spiders: esam_ir_spider.py, cansell_spider.py, bama_ir_spider.py, pinorest_ir_spider.py, divar_ir_spider.py, sheypoor_ir_spider.py, genuine_reg2_divar_spider.py, genuine_reg2_sheypoor_spider.py, iranibook_ir_spider.py, iranketab_ir_spider.py, genuine_reg2_esam_spider.py. CanSell appears strict but currently rebuilding; revisit for live seller-flow and inventory proof."
Iraq,resolved_pass220_active_spiders_built,medium-high,"Only reopen for a standalone book-specific used/recommerce platform, active app/marketplace seller-onboarding proof, KRG-specific marketplace evidence beyond single-store social commerce, or decisive used-book platform mechanics beyond OpenSooq/Facebook groups.","Pass220 successfully resolved and built active spiders: awraqonline_iq_spider.py, kitabi_iraq_spider.py, genuine_reg2_opensooqiraq_spider.py, mutanabi_spider.py, simma_iq_spider.py, maktabatie_iq_spider.py, dar_al_kutub_spider.py, opensooq_iraq_spider.py, elryan_iq_spider.py. Pass116 hardened Iraq after the high-priority revisit: current public evidence shows strong Baghdad + KRG bookstore/social-commerce layers and heavy used-book social resale, but no new standalone strict book-specific used marketplace beyond inherited strict/commerce spine."
Iraq,resolved_pass220_active_spiders_built,medium,classifieds and online bookstore hardening,"Pass220 successfully resolved and built active spiders: awraqonline_iq_spider.py, kitabi_iraq_spider.py, genuine_reg2_opensooqiraq_spider.py, mutanabi_spider.py, simma_iq_spider.py, maktabatie_iq_spider.py, dar_al_kutub_spider.py, opensooq_iraq_spider.py, elryan_iq_spider.py. OpenSooq is clear horizontal used-book spillover; revisit Mutanabbi/Kitabi marketplace mechanics."
Ireland,closed_after_pass167_final_ireland_cleanup_except_evidence_trigger,low,"Do not continue broad Ireland passes. Reopen only on evidence-triggered basis: a genuinely Ireland-native book-specific used/recommerce marketplace, an active public swap/exchange platform with item/request flow, major change to Biblio.ie/Wob/ABA Ireland scope, or ISBN-rich item metadata from local used-book sellers worth backfilling.","Pass167 final Ireland cleanup reconstructed the missing pass166 opening layer, added decisive final Ireland rows, and found no additional Ireland-native standalone strict-main used-book marketplace. Ireland now has sufficient broad coverage; remaining value is targeted evidence-triggered cleanup."
Israel,resolved_pass220_active_spiders_built,medium,"second pass on antiquarian depth beyond Jerusalem, Hebrew-vs-English-vs-Arabic segmentation, digital-library/subscription rails, and shadow used-book specialists beyond Findabook / Book Gallery / Sefer ve Sefel","Pass220 successfully resolved and built active spiders: steimatzky_spider.py, evrit_spider.py, tel_aviv_university_store_spider.py, yad2_il_spider.py, findabook_il_spider.py, booknet_il_spider.py. Israel clearly closes as main universe on pass 1, but its chain, digital, antiquarian, and multilingual sub-ecosystems are rich enough to justify a later enrichment pass without reopening the verdict."
Israel / Palestine,resolved_pass220_active_spiders_built,medium,FindABook promotion + Palestine hold,"Pass220 successfully resolved and built active spiders: steimatzky_spider.py, evrit_spider.py, tel_aviv_university_store_spider.py, yad2_il_spider.py, findabook_il_spider.py, booknet_il_spider.py, sharbains_bookshop_ps_spider.py, palestine_locanto_spider.py, watanbooks_spider.py, alhaq_palestine_spider.py, palestine_opensooq_spider.py, palestine_shobiddak_spider.py, educational_bookshop_ps_spider.py. FindABook promoted for Israel; Palestine remains bookstore/classifieds and should be revisited separately."
Italy,resolved_pass220_active_spiders_built,medium-low,"Targeted ISBN/detail extraction across Maremagnum, ComproVendoLibri, AbeBooks.it, Bookbot.it, Libraccio, LibreriaUniversitaria.it, and selected Italian antiquarian/dealer surfaces only.","Pass220 successfully resolved and built active spiders: hoepli_i_t_spider.py, di_mano_in_mano_i_t_spider.py, libreria_universitaria_i_t_spider.py, genuine3_shpockitaly_spider.py, genuine3_wallapopitaly_spider.py, unilibro_i_t_spider.py, mercato_delle_occasioni_i_t_spider.py, mondadori_i_t_spider.py, maremagnum_spider.py, genuine3_aaannunci_spider.py, genuine3_tuttoannunci_spider.py, genuine3_subito_spider.py, genuine3_annuncinet_spider.py, genuine3_bakeca_spider.py, libraccio_i_t_spider.py, abebooks_it_spider.py, italy_bakeca2_spider.py, genuine3_ilmercatinousato_spider.py, genuine3_affari_spider.py, bakeca_it_spider.py, genuine3_usato_spider.py, genuine3_vivastreetitaly_spider.py, comprovendolibri_spider.py, genuine3_vinteditaly_spider.py, italy_kijiji_spider.py, genuine3_kijijiitaly_spider.py, bookbot_it_spider.py. Pass181 converted Italy from one URL-less Maremagnum row into a source-backed strict-main/weak-fit/annex/operator stack; broad searching should pause unless a new Italy-native book-specific recommerce platform appears."
Japan,refresh_revisit_later,medium,future refresh pass if new categories or authority fields are added,"Closed after three passes, but ecosystem is large enough that later schema expansion could justify a revisit."
Jordan,resolved_pass220_active_spiders_built,medium,Nebras strict-core hardening,"Pass220 successfully resolved and built active spiders: nebrasbooks_spider.py, amman_ads_jo_spider.py, jordan_locanto_spider.py, jordan_opensooq_spider.py, alefredobooks_jo_spider.py, waseet_jo_spider.py. Nebras promoted; revisit for seller payout, logistics, and used/new inventory split."
Kazakhstan,resolved_pass220_active_spiders_built,low,Bukinist Almaty VK/social groups only for duplication/current-activity cleanup; no strict promotion without platformized mechanics.,"Pass220 successfully resolved and built active spiders: olx_kz_spider.py, kitapmarket_kz_spider.py, obmenbook_spider.py, flip_kz_spider.py, meloman_spider.py. Pass125 found stronger formal classifieds (Kaspi/OLX) and used-bookstore depth; social groups remain annex only."
Kazakhstan,resolved_pass220_active_spiders_built,medium-low,ObmenBook only if direct account/listing/payment or independent seller-onboarding mechanics appear; otherwise leave as high strict-candidate social-platform rail.,"Pass220 successfully resolved and built active spiders: olx_kz_spider.py, kitapmarket_kz_spider.py, obmenbook_spider.py, flip_kz_spider.py, meloman_spider.py. Pass125 directly hardened ObmenBook via orgs.biz/Instagram/The Village. Evidence supports book-specific exchange/sale, but the current flow is contact/social/operator-mediated rather than a proven independent marketplace."
Kazakhstan,resolved_pass220_active_spiders_built,low,Belaya Aruana direct social-store check only if re-opened; keep single-operator social-store posture.,"Pass220 successfully resolved and built active spiders: olx_kz_spider.py, kitapmarket_kz_spider.py, obmenbook_spider.py, flip_kz_spider.py, meloman_spider.py. Pass125 did not find reason to promote single-operator/social-store used-book sellers."
Kazakhstan,resolved_pass220_active_spiders_built,medium-low,ObmenBook only if direct account/listing/payment or independent seller-onboarding mechanics appear; otherwise leave as high strict-candidate social-platform rail.,"Pass220 successfully resolved and built active spiders: olx_kz_spider.py, kitapmarket_kz_spider.py, obmenbook_spider.py, flip_kz_spider.py, meloman_spider.py. Pass125 directly hardened ObmenBook via orgs.biz/Instagram/The Village. Evidence supports book-specific exchange/sale, but the current flow is contact/social/operator-mediated rather than a proven independent marketplace."
Kenya,resolved_pass220_active_spiders_built,medium,Targeted only: Pick A Book self-service seller dashboard/open third-party onboarding; Pick A Book marketplace inventory turnover; Attic/Books First consignment-vs-buyback mechanics; additional book-specific marketplace rails beyond existing core.,"Pass220 successfully resolved and built active spiders: kenya_national_academy_sciences_knas_spider.py, red_shelf_spider.py, halfpricedbooks_ke_spider.py, etsy_spider.py, nuria_ke_spider.py, boekenbalie_spider.py, atticbooks_ke_spider.py, world_agroforestry_icraf_spider.py, blue_rocket_spider.py, nairobi_university_store_spider.py, pickabook_spider.py, aphrc_african_population_health_research_center_spider.py, pigiame_ke_spider.py, bookstop_ke_spider.py, kemri_ke_spider.py, vital_source_spider.py. Pass109 hardened Kenya strict core: Pick A Book is strongly verified as a live book-specific used-books marketplace with product listings and seller-connection language; most other strong evidence remains single-operator used-book/buyback or social/classifieds texture."
Kosovo,resolved_pass220_active_spiders_built,medium-low,"Pause broad Kosovo search. Revisit only for a verifiable Kosovo-native standalone book-specific used/recommerce marketplace, a currently operating Bookey/book-swap app surface, or targeted ISBN/detail extraction across Dukagjini, Educational Centre, MerrJep, Buzuku, Artini and bookstore/Wolt surfaces.","Pass220 successfully resolved and built active spiders: dukagjinibooks_xk_spider.py, houseofbooks_ks_spider.py, roxha_xk_spider.py. Pass188 converted two URL-less frontier rows into a source/evidence-backed no-strict-main profile with bookstore, classifieds, provisional app/context, digital-library, fair and cultural-bookshop layers; no strict-main marketplace proven."
Kuwait,resolved_pass220_active_spiders_built,medium-low,Targeted only: check for a Kuwait-native standalone book-specific used/recommerce marketplace; direct seller-onboarding/listing/payment mechanics for any Page Turner/Bookish/Better/Benny-style platformization; current status for Bliss & Paper / Better Books if closure/reopening evidence changes.,"Pass220 successfully resolved and built active spiders: kuwait_opensooq_spider.py, q84sale_kw_spider.py. Pass140 source-backed the inherited Kuwait rows and added Benny's Books, Bliss & Paper, Kuwaitbookstore.com, Facebook Marketplace Kuwait Books, and Books exchange in Kuwait. Evidence supports rich single-store/operator and social/classifieds used-book texture, but no independent strict used-book marketplace."
Kuwait,resolved_pass220_active_spiders_built,medium-low,Targeted only: check for a Kuwait-native standalone book-specific used/recommerce marketplace; direct seller-onboarding/listing/payment mechanics for any Page Turner/Bookish/Better/Benny-style platformization; current status for Bliss & Paper / Better Books if closure/reopening evidence changes.,"Pass220 successfully resolved and built active spiders: kuwait_opensooq_spider.py, q84sale_kw_spider.py. Pass140 source-backed the inherited Kuwait rows and added Benny's Books, Bliss & Paper, Kuwaitbookstore.com, Facebook Marketplace Kuwait Books, and Books exchange in Kuwait. Evidence supports rich single-store/operator and social/classifieds used-book texture, but no independent strict used-book marketplace."
Kyrgyzstan,resolved_pass220_active_spiders_built,low,Bazar.kg/Tabylga/Aksy book-category spot-check,"Pass220 successfully resolved and built active spiders: foliant_kg_spider.py, genuine_reg2_lalafokg_spider.py, raritet_kg_spider.py, kitep_app_spider.py, bookhouse_kg_spider.py, diesel_kg_spider.py. Horizontal Kyrgyz marketplace apps were added as annex; only promote if a dedicated book-specific used/exchange rail or category-dominant book resale interface appears."
Kyrgyzstan,resolved_pass220_active_spiders_built,medium,Kyrgyzstan second-pass hardening for book-specific recommerce/seller-flow mechanics,"Pass220 successfully resolved and built active spiders: foliant_kg_spider.py, genuine_reg2_lalafokg_spider.py, raritet_kg_spider.py, kitep_app_spider.py, bookhouse_kg_spider.py, diesel_kg_spider.py. Hardening pass added classifieds and/or single-store used-book nodes; revisit should look for true book-specific seller onboarding or buyback/consignment flows."
Kyrgyzstan,resolved_pass220_active_spiders_built,medium,Komoda used/resale specificity check,"Pass220 successfully resolved and built active spiders: foliant_kg_spider.py, genuine_reg2_lalafokg_spider.py, raritet_kg_spider.py, kitep_app_spider.py, bookhouse_kg_spider.py, diesel_kg_spider.py. Komoda is a book-specific local-seller marketplace in Bishkek, but current evidence looks local-store/new-book oriented rather than used/recommerce strict main."
Latvia,resolved_pass220_active_spiders_built,medium-low,"Targeted only: ISBN/detail extraction across myBook.lv, iBook.lv, Luta.lv, Book.id.LV, Buki.lv and Gunas Grāmatas; monitor Luta/iBook operational continuity, Book.id.LV activity scale, and any Latvia-native book-specific app/platform that emerges after 2025.","Pass220 successfully resolved and built active spiders: mybook_lv_spider.py, luta_lv_spider.py, bookid_lv_spider.py, ibook_lv_spider.py. Pass173 hardened Latvia from two thin rows into a strong Baltic profile with four strict/main book-specific recommerce anchors, single-store used/antikvariat depth, and horizontal/social annex rails. Broad Latvia searching should pause unless fresh strict-main evidence appears or targeted ISBN/detail backfill is requested."
Lebanon,resolved_pass220_active_spiders_built,medium-low,Targeted only: monitor for a Lebanon-native standalone book-specific used/recommerce platform with seller onboarding/listing/payment mechanics; check whether Bookbee/books_beirut/Afkar/Stories_and_tales or Book Bazar/Barzakh platformize beyond operator/social storefronts; no broad reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: antoine_lb_spider.py, maliks_spider.py, urban_books_lb_spider.py, antoineonline_spider.py, arab_council_social_sciences_acss_spider.py, aub_student_marketplace_spider.py, almaktabah_spider.py. Pass141 expanded Lebanon shadow-layer evidence: OLX/dubizzle/Facebook remain horizontal/social spillover; Book Bazar, Barzakh, Bookbee, books_beirut, Afkar and Stories_and_tales harden secondhand/social-store texture; no independent strict used-book marketplace was verified."
Lebanon,resolved_pass220_active_spiders_built,medium-low,Targeted only: monitor for a Lebanon-native standalone book-specific used/recommerce platform with seller onboarding/listing/payment mechanics; check whether Bookbee/books_beirut/Afkar/Stories_and_tales or Book Bazar/Barzakh platformize beyond operator/social storefronts; no broad reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: antoine_lb_spider.py, maliks_spider.py, urban_books_lb_spider.py, antoineonline_spider.py, arab_council_social_sciences_acss_spider.py, aub_student_marketplace_spider.py, almaktabah_spider.py. Pass141 expanded Lebanon shadow-layer evidence: OLX/dubizzle/Facebook remain horizontal/social spillover; Book Bazar, Barzakh, Bookbee, books_beirut, Afkar and Stories_and_tales harden secondhand/social-store texture; no independent strict used-book marketplace was verified."
Lesotho,resolved_pass220_active_spiders_built,medium,"Reopen only for current IXcess live app/store proof, standalone Lesotho-native book-specific used/recommerce marketplace mechanics, direct seller onboarding/listing/payment proof, or evidence that Facebook/Rebuydeal/classifieds surfaces have platformized into book-specific resale infrastructure.","Pass220 successfully resolved and built active spiders: ls_afribaba_ls_spider.py, lesotho_locanto_spider.py. Pass123 hardened Lesotho: added IXcess app-era rent/buy/sell lead, bookstore branch anchors, Foso/Rebuydeal/AAA classifieds, and patched Books for Lesotho/Mazenod evidence. No strict-main promotion; prior high-caution closure is now targeted medium revisit."
Lesotho,resolved_pass220_active_spiders_built,medium,"Reopen only for current IXcess live app/store proof, standalone Lesotho-native book-specific used/recommerce marketplace mechanics, direct seller onboarding/listing/payment proof, or evidence that Facebook/Rebuydeal/classifieds surfaces have platformized into book-specific resale infrastructure.","Pass220 successfully resolved and built active spiders: ls_afribaba_ls_spider.py, lesotho_locanto_spider.py. Pass123 hardened Lesotho: added IXcess app-era rent/buy/sell lead, bookstore branch anchors, Foso/Rebuydeal/AAA classifieds, and patched Books for Lesotho/Mazenod evidence. No strict-main promotion; prior high-caution closure is now targeted medium revisit."
Liberia,resolved_pass220_active_spiders_built,medium,"Targeted only: Liberia Book Store seller-onboarding/third-party consignment proof, student textbook resale groups, LIBSHOP/BNS book-category depth, and whether current bookstore/social surfaces show used/consignment inventory.","Pass220 successfully resolved and built active spiders: university_liberia_press_spider.py, liberia_locanto_spider.py, liberiabookstore_spider.py, genuine_reg_final_liberiabuyandsellfinal_spider.py, liberia_afribaba_spider.py. Pass103 partially hardened Liberia: Liberia Book Store buy/sell/mobile-money/product/cart proof is live, BNS Liberia adds horizontal multi-vendor texture, and bookstore layer is more current; strict marketplace qualification still lacks seller-side proof."
Libya,resolved_pass220_active_spiders_built,medium-high,Only reopen for a standalone Libya-native book-specific used/recommerce platform; direct seller onboarding/listing/payment proof; or strong proof that social groups/storefronts have platformized beyond Facebook/OpenSooq.,"Pass220 successfully resolved and built active spiders: darfergiani_spider.py, libya_locanto_spider.py, libya_afribaba_spider.py, alresalah_bookshop_ly_spider.py, libya_opensooq_spider.py. Pass121 hardened Libya after high-caution revisit: OpenSooq city segmentation, used-book Facebook groups, Jawad social used/new seller, Fergiani/Al-Kon bookstore-publisher depth, and 2025 fair context; no strict-main platform promotion."
