territory,region_block,dominant_category,categories_present,site_count,row_count,main_universe,weak_fit_core,single_store_used_booksellers,single_store_bookstore_layer,single_store_used_bookstore_signal,annex_classifieds,used_book_signal_note,offline_fair_literacy_layer,confidence_mix,territory_profile,notes_compact
Libya,North Africa / Maghreb,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,14,14,0,3,2,2,0,6,Pass121: strongest used-book evidence is OpenSooq city classifieds plus Facebook/social used-book groups and a small social used/new seller; no standalone strict-main platform.,1,high:8; medium:2; medium-high:4,"Libya is now a targeted medium-high revisit territory: strong book fair/bookstore/social-classifieds texture, with OpenSooq city listings and used-book groups, but no verified independent book-specific recommerce marketplace.",Pass121 resolved Tripoli/Benghazi/Misrata segmentation and added social used-book/bookstore-publisher depth. Strict-main promotion gate remains closed.
Liechtenstein,DACH,offline / fair / literacy layer,offline / fair / literacy layer; single-store bookstore layer; used-book signal (territory note),4,4,0,0,0,1,0,0,Thin / unverified as a standing native market,2,high:2; medium:2,Territory anchored mainly by bookstore layer rather than marketplace depth.,National/library infrastructure anchor. || Digital heritage/publication access layer for Liechtenstein. || Confirmed bookstore-layer anchor with Liechtenstein delivery/pickup rail. || Commercially narrow but culturally and bibliographically much deeper than its size suggests.
Lithuania,Baltics/CEE,main universe,annex_classifieds; annex_social; main universe; single_store_used_booksellers; weak-fit core,11,11,3,1,0,0,0,0,"Pass174 hardened Lithuania: Knygos.lt, NaudotosKnygos.lt, and Bookswap.lt strict/main; SENA.LT strong but broader used-goods weak-fit; Skelbiu/Facebook horizontal/social annex; AntraKnyga/KnygosPigiau store-only used-book layers. ISBNs captured where exposed on Knygos.lt and SENA item pages.",0,high strict/main spine; medium-high store layer; medium annex/social,"Mature Baltic book-recommerce territory with book-first private used-book marketplace, standalone P2P used-book portal, points-based book-exchange platform, plus dense horizontal/social and store-only used-book texture.",opened_hardened_pass174_targeted_revisit_only; broad Lithuania search can pause; next useful pass is targeted ISBN/detail extraction or monitoring for new LT-native book recommerce apps.
Luxembourg,Benelux,single-store / charity used-book layer,annex / auction / collectibles spillover; annex / social book-sale groups; charity / thrift used-book layer; legacy / dormant / closed; offline / fair / literacy layer; single-store bookstore layer; single-store used-bookseller; weak-fit core,10,10,0,1,2,1,0,2,"Pass176 hardened Luxembourg: no strict-main platform; Letzshop retained weak-fit local-commerce rail; Bouquins Malins, Bicherfrënn/Bicherstuff and Bazar Book Stand establish real used-book texture; Facebook/social and auction layers retained as annex.",3,high:7; medium-high:2; low-medium:2,"Targeted cleanup/hardened no-strict-main microterritory: local-commerce weak-fit plus charity/single-store/event/social used-book ecology, but no standalone Luxembourg-native book-specific third-party recommerce marketplace.","Pass176 Luxembourg targeted cleanup. Keep future revisits targeted: look only for a standalone Luxembourg-native book-specific used/recommerce marketplace with seller onboarding/listing/payment proof, or a current direct operating surface for The Green Library."
Macau,East Asia,single-store bookstore layer,annex / classifieds; single-store bookstore layer; used-book signal (territory note); weak-fit core,6,6,0,2,0,2,0,1,Present as horizontal classifieds spillover only; no book-first used-books specialist or antiquarian spine was verified in pass 1.,0,high:1; medium:5,"Closed result: Macau is a compact weak-fit / bookstore-led hybrid. The verified online rails are real but narrow (government-publications and textbook/tertiary oriented), the bookstore layer is concrete, and second-hand activity appears only as horizontal classifieds spillover.","Macau closes after pass 1 as a compact weak-fit / bookstore-led hybrid. No broad native marketplace spine surfaced; the coherent surface is two narrow online rails, two bookstore anchors, and a horizontal second-hand annex."
Madagascar,Indian Ocean / Madagascar,annex / classifieds,annex / classifieds; annex / social book-sale groups; offline fair/literacy layer; single-store bookstore layer; single-store used bookseller; single-store used bookstore signal; weak-fit core,16,16,0,2,0,1,0,6,"Strong used-book evidence now spans ZomaOkaz new/used classifieds, La Bouquinerie deposit/consignment-style bouquinerie, Boky Occaz used-book lots, Livres de Mi used novels, and Ambohijatovo offline second-hand stalls; no book-dominant open used marketplace verified.",0,low-medium:3; medium:6; medium-high:7,"Madagascar has rich secondhand-book ecology through social used-book sellers, bouquineries, horizontal classifieds, and the Ambohijatovo second-hand market, but no verified independent book-specific multi-seller used/recommerce marketplace.","Pass132 hardened Madagascar: added Boky Occaz MDG, Livres de Mi, KIBO Librairie, Facebook Marketplace category, and social-sale group seam; re-hardened ZomaOkaz/Zoma/Bouquinerie/Ambohijatovo; downgraded to targeted medium cleanup."
Malawi,Southern Africa,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,19,19,0,2,7,2,0,7,"Pass122: Malawi now has strong secondhand/antiquarian single-store texture plus horizontal classifieds/social marketplace city segmentation, but no independent book-specific used/recommerce platform verified.",1,high:7; medium:8; medium-high:4,"Malawi is now targeted medium revisit: real used-book circulation is visible through secondhand bookshops, antiquarian Africana stock, social sellers, Facebook Marketplace, Tisitano, and MalondaPlace, but the strict-main promotion gate remains closed.",Pass122 converts Malawi from broad high-caution reopen to targeted medium follow-up. Reopen only for standalone book-specific marketplace/seller-flow proof or platformization beyond horizontal/social rails.
Malaysia,Southeast Asia,single-store used bookstore signal,annex / classifieds; annex / horizontal marketplace; annex / social resale; offline / fair / literacy layer; single-store bookstore layer; single-store used bookstore signal; weak-fit core,23,23,0,4,0,2,8,3,Pass209 hardened Malaysia as dense operator/social/horizontal used-book texture with no strict-main promotion; BookSwap remains current-status unresolved; Bookaholics has ISBN-search capability but no specific ISBN values captured.,2,high:9; medium:6; medium-high:8,"Malaysia now has rich secondhand-book infrastructure dominated by operator stores, trade-in/intake rails, social buy/sell/exchange groups, and horizontal marketplace channels; no verified Malaysia-native book-specific third-party marketplace.",Pass209 added one textbook/social resale control row and lowered Malaysia revisit priority to low; no strict-main candidate promoted.
Maldives,South Asia,single-store used-bookseller,annex / classifieds; annex / social resale; offline / fair / literacy layer; single-store bookstore layer; single-store used-bookseller; weak-fit core,10,10,0,2,0,2,0,1,,1,high:4; medium:5; medium-high:1,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,"Malé Facebook Marketplace books category explicitly exposes new and used books; general/social marketplace annex, not book-specific core. || Maldives online bookstore with new and used books, 250+ preloved books, and delivery across Malé/Hulhumalé/boats; single-store/curated, not strict marketplace. || Maldives second-hand books social-store; delivery within Malé/Hulhumalé and book donation framing; single-store/social seller. || Maldives pre-owned/pre-loved books seller with Greater Malé pickup/free delivery framing; single-store/social seller. || Maldives used-books/toys social group; annex/social resale. || Directory of Malé/Hulhumalé online bookstores, including Thriftbooks.mv and other book sellers; bookstore discovery layer."
Mali,West Africa,main universe,annex / classifieds; main universe; single-store used booksellers; weak-fit core,4,4,1,1,1,0,0,1,"main universe: Lamarlib | single-store used booksellers: Autour Du Livre | annex / classifieds: CoinAfrique Mali — DVDs, CDs & Livres",0,high:2; medium:2,Strict main-universe / used-book or book-specific marketplace territory under South America-style definition.,Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Malta,Central Mediterranean,no-strict-main; single-store/bookstore + charity/thrift + horizontal/social annex,offline / fair / literacy layer; single-store bookstore layer; single-store used/rare bookstore signal; single-store used bookseller; charity / thrift used-book layer; annex / classifieds; annex / horizontal marketplace; annex / social book-sale groups; context / uncertainty note,12,12,0,0,2,4,1,2,"No standalone Malta-native book-specific third-party recommerce marketplace found. Current used-book texture is concentrated in Malta Online Bookshop rare/out-of-print, YMCA Books 4 Charity, Bookstop MLT, Books n Bits, ALS Malta Store, Maltapark classifieds, Facebook Marketplace/groups, and selected local bookstore/bargain layers.",Malta Book Festival / National Book Council plus charity/thrift/book-sale social infrastructure.,high/medium-high,Targeted cleanup/hardened no-strict-main Central Mediterranean microterritory: real used-book texture but no native strict-main marketplace promotion.,"Pass186 Malta targeted cleanup. URLs/evidence added for Malta Book Festival/NBC, Merlin, Agenda, Malta Online Bookshop; added Maltapark, Facebook Marketplace/groups, YMCA Books 4 Charity, Bookstop MLT, Books n Bits, ALS Malta Store, and Wise Owl. Broad Malta search can pause except targeted monitoring for a true book-specific recommerce platform or ISBN/detail extraction."
Martinique,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,5,5,0,0,0,0,1,3,,1,medium:5,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","high book infrastructure, weak marketplace depth"
Mauritania,West Africa / Sahel-Atlantic,single-store bookstore layer,annex / classifieds; offline fair/literacy layer; single-store bookstore layer; single-store used-bookseller signal; weak-fit core,17,18,0,1,0,8,0,5,OpenSooq/All-Souq/Facebook confirm horizontal classifieds; Librairie Ambulante gives the best book-specific sale/exchange/new-second-hand social signal; no independent strict used-book marketplace found.,0,high:1; low:1; medium:7; medium-high:2; medium-low:7,Bookstore/social-classifieds-heavy territory with one notable social-hosted book-specific sale/exchange signal; no strict-main used/recommerce marketplace promotion.,"Pass131 hardened Mauritania: added OpenSooq and All-Souq app rails, Librairie Ambulante second-hand/exchange signal, rim book, and broader FB Marketplace city-category texture; downgraded to targeted medium cleanup."
Mauritius,Indian Ocean / Mauritius,annex / classifieds,annex / classifieds; annex / social marketplace; charity / thrift used-book layer; single-store bookstore layer; single-store used bookstore signal; weak-fit core,13,13,0,1,0,2,0,6,"Pass133 found high-depth AsterVender horizontal second-hand book/category evidence plus Librairie Bourbon second-hand schoolbook proof, Le BookShop, Unique Bookshop, Facebook Marketplace city categories, and charity/thrift used-book layers. No strict book-specific used/recommerce marketplace promotion.",0,high:2; low:1; medium:9; medium-high:1,"Social/classifieds-heavy used-book market with strong AsterVender horizontal second-hand book-category depth, active Facebook/social exchange, and several offline/single-store used-book signals; no standalone strict-main book-specific recommerce platform verified.","Pass133 hardened Mauritius: upgraded AsterVender and Librairie Bourbon evidence; added AsterVender subcategory depth, Le BookShop, Unique Bookshop, Facebook Marketplace city book categories, and Charity Centre/Good Shop thrift layer; downgraded to targeted medium cleanup."
Mayotte,Indian Ocean / Mayotte,annex / classifieds,annex / classifieds; single-store bookstore layer; weak-fit core,5,5,0,1,0,2,0,2,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,low-medium:2; medium:2; medium-high:1,"Mayotte has DoukaMay general marketplace/vendor accounts and several social used-book listings, plus bookstore-directory texture. No book-specific marketplace verified.",Deepen DoukaMay for book category presence and vendor listings; check Mamoudzou/Dzaoudzi book resale groups.
Mexico,North America,single-store used / bookstore signal,annex / classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal,11,11,1,0,0,0,6,1,,3,high:1; medium:10,Main-universe territory with supporting lower layers preserved in the compile.,"clear main-universe marketplace anchor via Mercado Libre; very strong bookstore, used-book, library, and fair infrastructure || Control ledger shorthand says Mercado Libre; raw continuation names Mercado Libre Libros."
Moldova,CEE/Balkans,weak-fit core,weak-fit core,1,1,0,1,0,0,0,0,,0,medium:1,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Recovered from frontier note naming native second-hand marketplace candidate.
Monaco,Western Europe / microstates,annex / classifieds,annex / auction / collectibles spillover; annex / classifieds; offline / fair / literacy layer; single-store bookstore layer,6,6,0,0,0,1,0,2,"Monaco has local books/magazines classifieds, general used-goods classifieds app surface, public book-exchange shelves, social/donation book reuse texture, and auction/antiquarian spillover, but no current standalone Monaco-native book-specific used/recommerce marketplace. ISBN rule applied; no ISBN values captured in visible checked surfaces.",2,high:4; low-medium:1; medium:1,"Monaco opened as a conservative microstate surface dominated by classifieds, bookstore, offline exchange/literacy, and auction spillover; strict-main remains empty.","Pass155 zero-surface opening added Click Monaco Livres/Magazines, SmailAds Monaco, La Bookinerie, Marché de la Condamine / Parc Princesse Antoinette exchange shelves, Hôtel des Ventes de Monte-Carlo books/manuscripts, and a school/music book exchange social group. No strict-main promotion; targeted revisit only."
Mongolia,East Asia,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; used-book signal (territory note); weak-fit core,8,8,0,4,0,1,0,1,Present through horizontal classifieds spillover; no national book-first used-book specialist verified in pass 1.,1,high:3; medium:5,"Closed result: Mongolia is a concentrated weak-fit core / chain-publisher-digital hybrid. The verified surface is book-forward and clearly real, but it is centered on strong bookstore/publisher/digital rails rather than a broad multi-spine national marketplace stack.","Mongolia closes after pass 1 as weak-fit core. Internom and Az Khur anchor the strongest verified retail rails, Monsudar and Mbook add publisher/digital depth, Unegui supplies classifieds spillover, and the National Book Festival anchors the literacy layer."
Montenegro,CEE/Balkans,annex / classifieds,annex / classifieds; annex / social resale; bookstore/cafe cultural layer; offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal; single-store used bookstore signal; weak-fit core,13,13,0,1,2,3,1,4,Pass192 hardened Montenegro: Patuljak/Pazar3/Oglasi expose new/used books and textbook classifieds; Platforma has a Polovne/Antikvarne category; social storefront/buyback pages add used/antiquarian texture. No strict/main book-specific marketplace verified.,2,high:4; medium-high:5; medium:3; medium-low:1,"No-strict-main territory with book-forward retail, horizontal classifieds, social used-book/buyback signals, and national fair/library context.",Pass192 Montenegro targeted cleanup from four URL-less rows; broad Montenegro should pause unless native book-specific recommerce platform appears.
Montserrat,Caribbean,offline / fair / literacy layer,offline / fair / literacy layer; single-store used / bookstore signal,2,2,0,0,0,0,1,0,,1,medium:2,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","extremely thin commerce, real literary infrastructure"
Morocco,North Africa / Maghreb,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,7,7,0,3,1,1,0,1,BookOnDesk explicitly sells new and used books with national delivery.,1,high:6; medium:1,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,"Multiple native online rails, a real new-and-used online bookseller, city-level bookstore depth, classifieds spillover, and Rabat 2026 literary infrastructure make Morocco a strong weak-fit closure rather than a bookstore-only case."
Mozambique,Southeast / Lusophone Africa,annex / classifieds,annex / classifieds; offline fair/literacy layer; single-store bookstore layer; single-store used bookseller; weak-fit core,12,12,0,2,0,3,0,5,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,low:1; low-medium:1; medium:7; medium-high:3,"Mozambique has book-specific social sell/exchange groups, a single-store used seller, online bookstores, general classifieds apps/sites, and a documented sidewalk used-book exchange market, but no confirmed standalone used-book marketplace.","Post-pass107 targeted revisit only: MOYA/MaisVendas book category depth, Bazara seller mechanics, schoolbook resale platformization, and any direct strict-main rail."
Myanmar,Southeast Asia,weak-fit core,annex / classifieds; single-store bookstore layer; weak-fit core,4,4,0,2,0,1,0,1,,0,medium:4,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Current-session controlled pass. || Current-session controlled pass classified Myanmar as upper weak-fit.
Namibia,Southern Africa,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,10,10,0,2,1,2,0,4,Deepening pass found used/pre-owned/social-sale signals; no book-specific platform-level used/recommerce marketplace was promoted to strict core.,1,high:4; medium:4; medium-high:2,"Namibia deepened materially through Kalahari Deals new/pre-owned books and book-exchange groups, plus The Red Shelf; Kalahari is a watchlist classifieds rail, not strict core.",Next hardening should test whether any social/group/category surfaces have open third-party book listing/search/payment/delivery mechanics beyond ordinary Facebook/classifieds flow.
Nepal,South Asia,main universe,annex / classifieds; annex / social resale; main universe; single-store bookstore layer; single-store used-bookseller; weak-fit core,12,12,4,1,0,1,0,3,"Pass136 confirms Nepal has two strict book-specific old-book listing/exchange rails (Sasto Kitab and Sajha Kitab), plus single-store used-book retail and broad classifieds/app reuse spillover. StudyShelf remains current-status hold.",0,high:4; medium:5; medium-high:3,Strict-main / book-specific resale or exchange platform territory with two current book-specific rails and supporting horizontal/social spillover.,"Pass136 Nepal hardened mechanics: Sajha Kitab promoted from annex to strict-main based on 2,683+ ads/free-post/direct old-book buy-sell listings; Sasto Kitab retained strict-main with root/blog evidence; StudyShelf downgraded to current-status hold; Hamrobazar, Boli Bajar and Jhigu Bazar added as horizontal annex/reuse rails."
Netherlands,Benelux,main universe,annex / classifieds; annex / social classifieds; main universe; single-store used booksellers; weak-fit core,12,12,4,2,4,0,0,2,"Pass178 hardened Netherlands from two skeletal rows into a mature strict/main Benelux territory. Strict/main anchors: Boekwinkeltjes.nl, Bookmatch.nl, Booknext.nl, and Antiqbook. ISBN rule applied with samples from Boekwinkeltjes, Bookmatch, Booknext, and bol; operator, retailer, store, and classifieds layers kept separate.",0,high:8; medium-high:3; medium:1,"Mature Benelux strict-main used-book/recommerce territory with a large second-hand marketplace spine, textbook C2C marketplaces, a Netherlands-rooted antiquarian/global marketplace rail, operator-mediated buyback/resale, a major broad retailer/marketplace layer, dense used-book chains/stores, and very large horizontal classifieds texture.","Pass178 hardening/opening promoted/hardened Boekwinkeltjes, Bookmatch, Booknext, and Antiqbook as strict/main; bol and BoekenBalie kept weak-fit; De Slegte, Boek2, Boeken-Kringloop, and The Book Exchange kept single-store/operator; Marktplaats/social kept annex. Broad Netherlands should pause except targeted ISBN/detail extraction or genuinely new native book-specific platforms."
Nicaragua,Central America,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,4,4,0,0,0,0,1,2,,1,medium:4,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",market/exchange ecosystem
Niger,West Africa,annex / classifieds,annex / classifieds; weak-fit core,2,2,0,1,0,0,0,1,"annex / classifieds: CoinAfrique Niger — DVDs, CDs & Livres",0,high:1; medium:1,Weak-fit / classifieds-led territory without a confirmed book-specific used marketplace in this compact pass.,Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Nigeria,West Africa,weak-fit core,annex / classifieds; main universe; single-store used booksellers; weak-fit core,19,19,3,8,1,0,0,7,strict main: PreownedBooks.ng high strict core; SchoolBOOKS high strict candidate; ALÁKÒWÉ launch-hold strict candidate; campus apps/horizontal classifieds provide used textbook spillover but remain non-strict.,0,high:3; medium:13; medium-high:1; medium-low:2,Strict main-universe / used-book or book-specific marketplace territory under South America-style definition.,"Pass130 Nigeria added CampusTradeNG, CampusHub Nigeria and Booka; hardened PreownedBooks/SchoolBOOKS/ALÁKÒWÉ/CampusPlug; Six33Four remains no-direct-site historical hold; Nigeria now targeted cleanup only."
North Macedonia,CEE/Balkans,single-store bookstore layer,annex / classifieds; annex / classifieds aggregator; annex / social book-sale groups; offline / fair / literacy layer; offline / used-antiquarian sellers layer; single-store bookstore layer; single-store used bookstore signal; weak-fit core,18,18,0,2,0,7,1,4,"Pass191 false-flag repair reopened North Macedonia and added VIPMarket5, Starokupujem, Chitam.mk used-book antikvarnica/social storefront, an additional old/new book Facebook sale/gift/exchange group, and Skopje old-book stall context. Used/recommerce texture is now broader but still horizontal/social/operator/offline rather than strict-main.",2,high:9; medium:3; medium-high:6,"No-strict-main territory with strong bookstore infrastructure, multiple horizontal classifieds book categories, social book-sale/exchange groups, one operator/social used-book storefront signal, and offline/fair/old-book-seller context. No standalone native book-specific third-party used/recommerce marketplace verified after pass191 follow-up.","Pass191 repaired the interrupted/wrongly flagged North Macedonia follow-up. It retained pass190 Serbia globally, reopened only the North Macedonia seam, added five net-new North Macedonia rows plus hardening evidence, and preserved no-strict-main / targeted-revisit-only status."
Norway,Nordics,single-store used booksellers,annex / horizontal marketplace; annex / social classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,18,18,3,1,9,0,1,1,"Pass170 hardened Norway from two pending-backfill rows into a mature Nordic strict-main territory. Strict-main rails: Bookis Norway, iBok.no, and Antikvariat.net Norway/Scandinavia scope. FINN is a massive horizontal annex. Bokia, Boklibris, Bokloftet, Bokbua, Norlis, Antikvariat Bryggen, Antikvariat Soon, Toftes, Nynorsk Antikvariat and Bokbyen Skagerrak provide deep single-store/antikvariat and ISBN/detail texture.",2,high:9; medium:3; medium-high:6,"Mature strict-main Nordic used-book/recommerce ecosystem anchored by a Norway-native book marketplace/app, a used textbook marketplace, and Scandinavian antiquarian marketplace infrastructure, with very large horizontal marketplace spillover and dense single-store used/antikvariat inventory.","Pass170 Norway hardening/backfill. Broad Norway is now sufficiently covered; future work should be targeted to ISBN/detail extraction across Bookis, iBok, Antikvariat.net/Norwegian member antikvariat, Bokia, Boklibris, Bokloftet, Bokbua, and FINN category samples, plus monitoring for new Norway-native app/P2P rails."
Oman,Gulf / Arabian Peninsula,annex / classifieds,annex / classifieds; annex / social resale; offline / fair / literacy layer; single-store bookstore layer; single-store used bookstore signal; weak-fit core,14,14,0,3,0,2,0,5,Pass142 hardened Oman’s used-book layer: dubizzle/OpenSooq/Facebook show active new/used/rare book classifieds and social resale; Let’s Read and House of Prose add secondhand/charity bookstore depth. No independent Oman-native strict used-book marketplace verified.,1,high:5; medium:7; medium-high:2,Oman remains weak-fit/bookstore-led with strong secondhand/classifieds texture: Al Manarah/Al Manahil/Ubuy as retail/import rails; dubizzle/OpenSooq/Facebook as resale spillover; Let’s Read/House of Prose as secondhand store/literacy layers.,"Pass142 added OpenSooq Oman, Facebook Marketplace Muscat, Let’s Read Charity Book Shop, House of Prose Muscat, Books Bank Oman, and Ubuy Oman. Strict promotion gate remains closed."
Pakistan,South Asia,weak-fit core,annex / social resale; main universe; offline / used-book market; single-store used-bookseller; weak-fit core,10,10,2,3,0,0,0,0,Used/New-Books Sale & Purchase Pakistan; Used Course Books Buy/Sell Point (Pakistan),0,high:2; medium:6; medium-high:2,high:2; medium:6; medium-high:2,Strict-main / book-specific resale or exchange platform territory. | Pass110 reverified Kitabain and Booksecondstory seller/listing/transaction mechanics; Kitab Rabta remains non-strict buyback/intake; Pakistan lowered to targeted revisit only.
Palestine,Levant / Mashriq,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; used-book signal (territory note); weak-fit core,15,16,0,4,1,4,0,4,"Pass119 found stronger used/new circulation through OpenSooq/Shobiddak/Mstaml, Free Book Exchange in Palestine, and Bastat Kotoob 2, but no independent book-specific strict-main platform.",2,high:10; medium:2; medium-high:4,"Palestine is a bookstore/social/classifieds-heavy territory with strong Jerusalem/Ramallah/Hebron bookstore distribution and active used/new social exchange, but strict-main platform evidence remains absent.","After pass119, Palestine is targeted revisit only: reopen for standalone book-specific used/recommerce platform or direct seller-onboarding/listing/payment proof beyond horizontal classifieds/social groups."
Panama,Central America,offline / fair / literacy layer,annex / classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal; weak-fit core,7,8,1,1,0,0,1,2,,3,high:2; medium:6,Main-universe territory with supporting lower layers preserved in the compile.,Explicit weak-fit core in checkpoint matrix. || Coverage matrix had Panama in weak-fit; later imported transcript explicitly promoted CompartirLibros to main universe. || informal/event-driven
Peru,South America,main universe,main universe; weak-fit core,2,2,1,1,0,0,0,0,,0,high:2,Main-universe territory with supporting lower layers preserved in the compile.,Explicit weak-fit core in bundled prior transcript.
Philippines,Southeast Asia,single-store used booksellers plus one hardened strict pre-loved book marketplace candidate,annex / classifieds; annex / horizontal marketplace; annex / social resale; main universe; operator buyback / consignment; single-store used booksellers; weak-fit core,20,20,1,1,10,0,0,2,Pass201 hardened Chapters as sole current strict/main Philippines candidate using official buy/sell/donate marketplace language plus seller-shop/user-report evidence. Added three social-control groups. No ISBN values captured in checked renders/snippets.,0,high:6; medium:2; medium-high:12,"Book-forward Philippines surface with one current book-specific P2P/direct-seller pre-loved marketplace candidate (Chapters), many operator-store used-book surfaces, deep horizontal marketplace book categories, and active Facebook resale groups. Managed checkout/escrow for Chapters remains unverified; most other surfaces are non-strict.",Pass201 targeted hardening complete. Philippines can move to Egypt block unless an optional low-priority third closure pass is desired.
Poland,Baltics/CEE,main universe,main universe; weak-fit core,3,3,2,1,0,0,0,0,,0,high:3,regional sprint touched; strict-main promotions only where current used-book marketplace/recommerce mechanics were evidenced,Pass148 CEE/Baltics sprint promoted Tezeusz and added SkupSzop as strict/main operator-managed book recommerce; both have current buyback/sale evidence and SkupSzop exposes ISBN-based selling flow.
Portugal,Iberia,single-store used booksellers,annex / classifieds; legacy / closed marketplace; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used booksellers; weak-fit core,22,22,1,2,7,3,0,3,Pass183: Portugal hardened as a real but narrower Iberian recommerce territory. Confirmed strict/main anchor: Trade Stories. Book in Loop preserved as legacy/closed. WOOK/FNAC stay weak-fit retailer marketplace rails; OLX/CustoJusto/Facebook stay horizontal annex; rich alfarrabista/single-store layer retained separately.,5,high:16; medium:1; medium-high:5,"Narrow strict-main book-recommerce territory anchored by Trade Stories, with strong single-store/alfarrabista and offline fair texture plus retailer-hosted marketplace and horizontal classifieds layers kept separate.","Pass183 Portugal hardening: resolved pending-backfill Iberia matrix rows; added Book in Loop legacy/closed, Ecolivros, Esconderijo dos Livros, Alfarrabista.com, Livraria Ferreira, Livraria Trindade, Livraria Miguel de Carvalho, Bokay, CustoJusto, Facebook Marketplace Books, Feira de Alfarrabistas do Chiado, and Salão do Livro Antigo seam. Broad Portugal search can pause; targeted ISBN/detail extraction remains useful."
Puerto Rico,Caribbean,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,7,7,0,0,0,0,3,2,,2,medium:7,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","high overall book infrastructure, low specialist-platform depth"
Qatar,Gulf / Arabian Peninsula,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; weak-fit core,12,12,0,5,0,2,0,4,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.,1,high:6; low:1; medium:5,Weak-fit / classifieds or bookstore-led territory after hardening.,"Qatar closes after pass 1 on Alif + Jarir + Virgin + Crescent as the core book-forward rails, Ibn AlQayyim + Edumart as bookstore anchors, Mzad as horizontal used-book spillover, and the Doha International Book Fair as the national fair/literacy layer. | Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible."
Republic of Congo,Central Africa / West-Central Africa,annex / classifieds,annex / classifieds; offline fair/literacy layer; single-store bookstore layer; single-store used bookseller; single-store used bookstore signal,11,11,0,0,0,3,0,4,Used-book signal is substantial offline and single-store; online marketplace evidence is general classifieds/social only.,0,low:2; medium:5; medium-high:3; medium-low:1,"Congo-Brazzaville has strong offline used-book market evidence (“librairies par terre”), current single-store used-book sellers, CoinAfrique/social classifieds, and Harmattan Congo-Brazzaville bookstore/publisher infrastructure, but no confirmed book-dominant online marketplace.","Lowered to targeted revisit after pass105: reopen only for an online multi-seller/bouquiniste rail, seller onboarding, direct consignment mechanics, or schoolbook resale platform evidence."
Romania,CEE/Balkans,single-store used booksellers / horizontal marketplace controls,annex / classifieds; annex / horizontal marketplace; annex / social resale; single-store used booksellers; weak-fit core,22,22,0,3,13,0,0,6,Pass205 hardened Romania: no strict/main promotion; Okazii stays broad marketplace; Romanian anticariat network exposes strong operator stock/buyback plus detail-page ISBN metadata.,0,high:12; medium-high:10,Dense no-strict-main territory: mature online anticariat/operator ecosystem plus broad horizontal/social resale controls; no book-specific third-party marketplace verified.,"Pass205 Romania targeted hardening complete: added 3 operator anticariat surfaces, captured ISBN examples on anticariat detail pages, lowered revisit priority to low."
